Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,RoundNumber,Race Type,EventName
0 days 00:47:06.249000,11,,1.0,0 days 00:13:33.428000,,,0 days 00:00:42.926000,0 days 00:00:25.208000,,0 days 00:46:41.092000,0 days 00:47:06.295000,195.0,216.0,326.0,321.0,False,MEDIUM,5.0,False,1,0 days 00:45:16.328000,Red Bull Racing,PER,2,False,2023-04-29 13:33:58.197,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:49:16.287000,11,0 days 00:02:10.038000,2.0,,,0 days 00:00:38.165000,0 days 00:00:57.443000,0 days 00:00:34.430000,0 days 00:47:44.414000,0 days 00:48:41.857000,0 days 00:49:16.287000,,114.0,264.0,273.0,False,MEDIUM,6.0,False,1,0 days 00:47:06.249000,Red Bull Racing,PER,26,False,2023-04-29 13:35:48.118,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:51:48.758000,11,,3.0,,,0 days 00:00:54.004000,0 days 00:01:00.007000,0 days 00:00:38.427000,0 days 00:50:10.324000,0 days 00:51:10.339000,0 days 00:51:48.761000,150.0,164.0,235.0,239.0,False,MEDIUM,7.0,False,1,0 days 00:49:16.287000,Red Bull Racing,PER,64,False,2023-04-29 13:37:58.156,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:54:39.425000,11,,4.0,,,0 days 00:01:01.476000,0 days 00:01:11.355000,0 days 00:00:37.873000,0 days 00:52:50.197000,0 days 00:54:01.587000,0 days 00:54:39.493000,111.0,159.0,276.0,176.0,False,MEDIUM,8.0,False,1,0 days 00:51:48.758000,Red Bull Racing,PER,4,False,2023-04-29 13:40:30.627,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:57:43.089000,11,,5.0,,,0 days 00:00:54.940000,0 days 00:01:00.829000,0 days 00:01:07.920000,0 days 00:55:34.430000,0 days 00:56:35.226000,0 days 00:57:43.225000,145.0,107.0,307.0,99.0,False,MEDIUM,9.0,False,1,0 days 00:54:39.425000,Red Bull Racing,PER,4,False,2023-04-29 13:43:21.294,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:59:28.343000,11,0 days 00:01:45.254000,6.0,,,0 days 00:00:38.019000,0 days 00:00:42.171000,0 days 00:00:25.064000,0 days 00:58:21.108000,0 days 00:59:03.279000,0 days 00:59:28.343000,206.0,217.0,329.0,322.0,False,MEDIUM,10.0,False,1,0 days 00:57:43.089000,Red Bull Racing,PER,1,False,2023-04-29 13:46:24.958,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:01:12.831000,11,0 days 00:01:44.488000,7.0,,,0 days 00:00:37.457000,0 days 00:00:42.184000,0 days 00:00:24.847000,0 days 01:00:05.800000,0 days 01:00:47.984000,0 days 01:01:12.831000,215.0,221.0,345.0,324.0,False,MEDIUM,11.0,False,1,0 days 00:59:28.343000,Red Bull Racing,PER,1,True,2023-04-29 13:48:10.212,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:02:57.503000,11,0 days 00:01:44.672000,8.0,,,0 days 00:00:37.464000,0 days 00:00:42,0 days 00:00:25.208000,0 days 01:01:50.295000,0 days 01:02:32.295000,0 days 01:02:57.503000,213.0,222.0,322.0,318.0,False,MEDIUM,12.0,False,1,0 days 01:01:12.831000,Red Bull Racing,PER,1,True,2023-04-29 13:49:54.700,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:04:41.435000,11,0 days 00:01:43.932000,9.0,,,0 days 00:00:37.109000,0 days 00:00:41.673000,0 days 00:00:25.150000,0 days 01:03:34.612000,0 days 01:04:16.285000,0 days 01:04:41.435000,215.0,230.0,321.0,317.0,False,MEDIUM,13.0,False,1,0 days 01:02:57.503000,Red Bull Racing,PER,1,True,2023-04-29 13:51:39.372,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:06:25.204000,11,0 days 00:01:43.769000,10.0,,,0 days 00:00:36.794000,0 days 00:00:41.743000,0 days 00:00:25.232000,0 days 01:05:18.229000,0 days 01:05:59.972000,0 days 01:06:25.204000,,222.0,322.0,318.0,False,MEDIUM,14.0,False,1,0 days 01:04:41.435000,Red Bull Racing,PER,1,True,2023-04-29 13:53:23.304,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:08:08.820000,11,0 days 00:01:43.616000,11.0,,,0 days 00:00:36.867000,0 days 00:00:41.584000,0 days 00:00:25.165000,0 days 01:07:02.071000,0 days 01:07:43.655000,0 days 01:08:08.820000,217.0,234.0,322.0,318.0,True,MEDIUM,15.0,False,1,0 days 01:06:25.204000,Red Bull Racing,PER,1,True,2023-04-29 13:55:07.073,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:09:52.759000,11,0 days 00:01:43.939000,12.0,,,0 days 00:00:36.909000,0 days 00:00:41.890000,0 days 00:00:25.140000,0 days 01:08:45.729000,0 days 01:09:27.619000,0 days 01:09:52.759000,216.0,232.0,322.0,318.0,False,MEDIUM,16.0,False,1,0 days 01:08:08.820000,Red Bull Racing,PER,1,True,2023-04-29 13:56:50.689,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:11:36.522000,11,0 days 00:01:43.763000,13.0,,,0 days 00:00:36.754000,0 days 00:00:41.849000,0 days 00:00:25.160000,0 days 01:10:29.513000,0 days 01:11:11.362000,0 days 01:11:36.522000,214.0,227.0,322.0,317.0,False,MEDIUM,17.0,False,1,0 days 01:09:52.759000,Red Bull Racing,PER,1,True,2023-04-29 13:58:34.628,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:13:20.367000,11,0 days 00:01:43.845000,14.0,,,0 days 00:00:36.866000,0 days 00:00:41.799000,0 days 00:00:25.180000,0 days 01:12:13.388000,0 days 01:12:55.187000,0 days 01:13:20.367000,213.0,231.0,322.0,318.0,False,MEDIUM,18.0,False,1,0 days 01:11:36.522000,Red Bull Racing,PER,1,True,2023-04-29 14:00:18.391,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:15:04.211000,11,0 days 00:01:43.844000,15.0,,,0 days 00:00:36.900000,0 days 00:00:41.793000,0 days 00:00:25.151000,0 days 01:13:57.267000,0 days 01:14:39.060000,0 days 01:15:04.211000,214.0,227.0,322.0,319.0,False,MEDIUM,19.0,False,1,0 days 01:13:20.367000,Red Bull Racing,PER,1,True,2023-04-29 14:02:02.236,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:16:48.214000,11,0 days 00:01:44.003000,16.0,,,0 days 00:00:37.007000,0 days 00:00:41.829000,0 days 00:00:25.167000,0 days 01:15:41.218000,0 days 01:16:23.047000,0 days 01:16:48.214000,215.0,223.0,322.0,319.0,False,MEDIUM,20.0,False,1,0 days 01:15:04.211000,Red Bull Racing,PER,1,True,2023-04-29 14:03:46.080,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:18:34.289000,11,0 days 00:01:46.075000,17.0,,,0 days 00:00:37.193000,0 days 00:00:43.210000,0 days 00:00:25.672000,0 days 01:17:25.407000,0 days 01:18:08.617000,0 days 01:18:34.289000,201.0,209.0,264.0,319.0,False,MEDIUM,21.0,False,1,0 days 01:16:48.214000,Red Bull Racing,PER,1,True,2023-04-29 14:05:30.083,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:47:05.263000,16,,1.0,0 days 00:11:37.320000,,,0 days 00:00:42.709000,0 days 00:00:25.434000,,0 days 00:46:39.936000,0 days 00:47:05.342000,208.0,225.0,318.0,315.0,False,MEDIUM,1.0,True,1,0 days 00:45:16.328000,Ferrari,LEC,2,False,2023-04-29 13:33:58.197,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:49:15.231000,16,0 days 00:02:09.968000,2.0,,,0 days 00:00:37.820000,0 days 00:00:56.723000,0 days 00:00:35.425000,0 days 00:47:43.083000,0 days 00:48:39.806000,0 days 00:49:15.231000,219.0,117.0,245.0,265.0,False,MEDIUM,2.0,True,1,0 days 00:47:05.263000,Ferrari,LEC,26,False,2023-04-29 13:35:47.132,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:51:46.105000,16,,3.0,,,0 days 00:00:53.275000,0 days 00:00:59.675000,0 days 00:00:37.875000,0 days 00:50:08.606000,0 days 00:51:08.230000,0 days 00:51:46.151000,130.0,161.0,231.0,241.0,False,MEDIUM,3.0,True,1,0 days 00:49:15.231000,Ferrari,LEC,64,False,2023-04-29 13:37:57.100,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:54:37.907000,16,,4.0,,,0 days 00:01:03.015000,0 days 00:01:11.078000,0 days 00:00:37.710000,0 days 00:52:49.166000,0 days 00:54:00.197000,0 days 00:54:37.931000,117.0,141.0,270.0,180.0,False,MEDIUM,4.0,True,1,0 days 00:51:46.105000,Ferrari,LEC,4,False,2023-04-29 13:40:27.974,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:57:42.728000,16,,5.0,,,0 days 00:00:55.152000,0 days 00:01:01.272000,0 days 00:01:08.438000,0 days 00:55:33.086000,0 days 00:56:34.414000,0 days 00:57:42.835000,138.0,90.0,303.0,90.0,False,MEDIUM,5.0,True,1,0 days 00:54:37.907000,Ferrari,LEC,4,False,2023-04-29 13:43:19.776,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:59:27.945000,16,0 days 00:01:45.217000,6.0,,,0 days 00:00:37.549000,0 days 00:00:42.311000,0 days 00:00:25.357000,0 days 00:58:20.277000,0 days 00:59:02.588000,0 days 00:59:27.945000,212.0,222.0,319.0,314.0,False,MEDIUM,6.0,True,1,0 days 00:57:42.728000,Ferrari,LEC,1,False,2023-04-29 13:46:24.597,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:01:12.747000,16,0 days 00:01:44.802000,7.0,,,0 days 00:00:37.214000,0 days 00:00:42.291000,0 days 00:00:25.297000,0 days 01:00:05.159000,0 days 01:00:47.450000,0 days 01:01:12.747000,221.0,228.0,312.0,316.0,False,MEDIUM,7.0,True,1,0 days 00:59:27.945000,Ferrari,LEC,1,True,2023-04-29 13:48:09.814,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:02:58.105000,16,0 days 00:01:45.358000,8.0,,,0 days 00:00:38.199000,0 days 00:00:42.201000,0 days 00:00:24.958000,0 days 01:01:50.946000,0 days 01:02:33.147000,0 days 01:02:58.105000,207.0,230.0,330.0,322.0,False,MEDIUM,8.0,True,1,0 days 01:01:12.747000,Ferrari,LEC,1,True,2023-04-29 13:49:54.616,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:04:42.379000,16,0 days 00:01:44.274000,9.0,,,0 days 00:00:37.204000,0 days 00:00:42.011000,0 days 00:00:25.059000,0 days 01:03:35.309000,0 days 01:04:17.320000,0 days 01:04:42.379000,216.0,222.0,319.0,321.0,False,MEDIUM,9.0,True,1,0 days 01:02:58.105000,Ferrari,LEC,1,True,2023-04-29 13:51:39.974,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:06:26.210000,16,0 days 00:01:43.831000,10.0,,,0 days 00:00:36.730000,0 days 00:00:42.080000,0 days 00:00:25.021000,0 days 01:05:19.109000,0 days 01:06:01.189000,0 days 01:06:26.210000,222.0,228.0,316.0,321.0,False,MEDIUM,10.0,True,1,0 days 01:04:42.379000,Ferrari,LEC,1,True,2023-04-29 13:53:24.248,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:08:09.892000,16,0 days 00:01:43.682000,11.0,,,0 days 00:00:36.852000,0 days 00:00:41.864000,0 days 00:00:24.966000,0 days 01:07:03.062000,0 days 01:07:44.926000,0 days 01:08:09.892000,219.0,228.0,325.0,322.0,False,MEDIUM,11.0,True,1,0 days 01:06:26.210000,Ferrari,LEC,1,True,2023-04-29 13:55:08.079,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:09:53.538000,16,0 days 00:01:43.646000,12.0,,,0 days 00:00:36.726000,0 days 00:00:42.003000,0 days 00:00:24.917000,0 days 01:08:46.618000,0 days 01:09:28.621000,0 days 01:09:53.538000,221.0,221.0,328.0,322.0,True,MEDIUM,12.0,True,1,0 days 01:08:09.892000,Ferrari,LEC,1,True,2023-04-29 13:56:51.761,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:11:37.815000,16,0 days 00:01:44.277000,13.0,,,0 days 00:00:36.878000,0 days 00:00:42.315000,0 days 00:00:25.084000,0 days 01:10:30.416000,0 days 01:11:12.731000,0 days 01:11:37.815000,216.0,228.0,315.0,321.0,False,MEDIUM,13.0,True,1,0 days 01:09:53.538000,Ferrari,LEC,1,True,2023-04-29 13:58:35.407,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:13:22.499000,16,0 days 00:01:44.684000,14.0,,,0 days 00:00:37.161000,0 days 00:00:42.424000,0 days 00:00:25.099000,0 days 01:12:14.976000,0 days 01:12:57.400000,0 days 01:13:22.499000,217.0,227.0,317.0,321.0,False,MEDIUM,14.0,True,1,0 days 01:11:37.815000,Ferrari,LEC,1,True,2023-04-29 14:00:19.684,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:15:07.499000,16,0 days 00:01:45,15.0,,,0 days 00:00:37.223000,0 days 00:00:42.623000,0 days 00:00:25.154000,0 days 01:13:59.722000,0 days 01:14:42.345000,0 days 01:15:07.499000,220.0,229.0,319.0,320.0,False,MEDIUM,15.0,True,1,0 days 01:13:22.499000,Ferrari,LEC,1,True,2023-04-29 14:02:04.368,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:16:53.014000,16,0 days 00:01:45.515000,16.0,,,0 days 00:00:37.401000,0 days 00:00:42.856000,0 days 00:00:25.258000,0 days 01:15:44.900000,0 days 01:16:27.756000,0 days 01:16:53.014000,,229.0,314.0,318.0,False,MEDIUM,16.0,True,1,0 days 01:15:07.499000,Ferrari,LEC,1,True,2023-04-29 14:03:49.368,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:18:38.773000,16,0 days 00:01:45.759000,17.0,,,0 days 00:00:37.464000,0 days 00:00:42.908000,0 days 00:00:25.387000,0 days 01:17:30.478000,0 days 01:18:13.386000,0 days 01:18:38.773000,,224.0,309.0,319.0,False,MEDIUM,17.0,True,1,0 days 01:16:53.014000,Ferrari,LEC,1,True,2023-04-29 14:05:34.883,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:47:09.248000,1,,1.0,0 days 00:13:09.678000,,,0 days 00:00:43.530000,0 days 00:00:25.195000,,0 days 00:46:44.077000,0 days 00:47:09.280000,190.0,218.0,321.0,322.0,False,MEDIUM,4.0,False,1,0 days 00:45:16.328000,Red Bull Racing,VER,2,False,2023-04-29 13:33:58.197,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:49:20.257000,1,0 days 00:02:11.009000,2.0,,,0 days 00:00:38.344000,0 days 00:00:58.601000,0 days 00:00:34.064000,0 days 00:47:47.592000,0 days 00:48:46.193000,0 days 00:49:20.257000,196.0,104.0,254.0,281.0,False,MEDIUM,5.0,False,1,0 days 00:47:09.248000,Red Bull Racing,VER,26,False,2023-04-29 13:35:51.117,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:51:51.418000,1,,3.0,,,0 days 00:00:52.754000,0 days 00:01:02.344000,0 days 00:00:36.048000,0 days 00:50:13.074000,0 days 00:51:15.370000,0 days 00:51:51.432000,140.0,152.0,265.0,179.0,False,MEDIUM,6.0,False,1,0 days 00:49:20.257000,Red Bull Racing,VER,64,False,2023-04-29 13:38:02.126,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:54:43.294000,1,,4.0,,,0 days 00:01:00.749000,0 days 00:01:12.379000,0 days 00:00:38.749000,0 days 00:52:52.166000,0 days 00:54:04.572000,0 days 00:54:43.399000,145.0,188.0,273.0,226.0,False,MEDIUM,7.0,False,1,0 days 00:51:51.418000,Red Bull Racing,VER,4,False,2023-04-29 13:40:33.287,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:57:43.310000,1,,5.0,,,0 days 00:00:53.133000,0 days 00:01:01.620000,0 days 00:01:05.322000,0 days 00:55:36.477000,0 days 00:56:38.085000,0 days 00:57:43.491000,168.0,121.0,305.0,107.0,False,MEDIUM,8.0,False,1,0 days 00:54:43.294000,Red Bull Racing,VER,4,False,2023-04-29 13:43:25.163,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:59:29.396000,1,0 days 00:01:46.086000,6.0,,,0 days 00:00:38.684000,0 days 00:00:42.250000,0 days 00:00:25.152000,0 days 00:58:21.994000,0 days 00:59:04.244000,0 days 00:59:29.396000,206.0,224.0,318.0,321.0,False,MEDIUM,9.0,False,1,0 days 00:57:43.310000,Red Bull Racing,VER,1,False,2023-04-29 13:46:25.179,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:01:14.324000,1,0 days 00:01:44.928000,7.0,,,0 days 00:00:37.492000,0 days 00:00:42.320000,0 days 00:00:25.116000,0 days 01:00:06.888000,0 days 01:00:49.208000,0 days 01:01:14.324000,215.0,221.0,319.0,322.0,False,MEDIUM,10.0,False,1,0 days 00:59:29.396000,Red Bull Racing,VER,1,True,2023-04-29 13:48:11.265,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:02:58.921000,1,0 days 00:01:44.597000,8.0,,,0 days 00:00:37.547000,0 days 00:00:42.244000,0 days 00:00:24.806000,0 days 01:01:51.871000,0 days 01:02:34.115000,0 days 01:02:58.921000,209.0,228.0,337.0,323.0,False,MEDIUM,11.0,False,1,0 days 01:01:14.324000,Red Bull Racing,VER,1,True,2023-04-29 13:49:56.193,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:04:43.105000,1,0 days 00:01:44.184000,9.0,,,0 days 00:00:37.118000,0 days 00:00:42.283000,0 days 00:00:24.783000,0 days 01:03:36.039000,0 days 01:04:18.322000,0 days 01:04:43.105000,207.0,227.0,336.0,323.0,False,MEDIUM,12.0,False,1,0 days 01:02:58.921000,Red Bull Racing,VER,1,True,2023-04-29 13:51:40.790,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:06:26.828000,1,0 days 00:01:43.723000,10.0,,,0 days 00:00:36.796000,0 days 00:00:42.178000,0 days 00:00:24.749000,0 days 01:05:19.901000,0 days 01:06:02.079000,0 days 01:06:26.828000,213.0,231.0,336.0,324.0,True,MEDIUM,13.0,False,1,0 days 01:04:43.105000,Red Bull Racing,VER,1,True,2023-04-29 13:53:24.974,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:08:10.663000,1,0 days 00:01:43.835000,11.0,,,0 days 00:00:36.990000,0 days 00:00:42.079000,0 days 00:00:24.766000,0 days 01:07:03.818000,0 days 01:07:45.897000,0 days 01:08:10.663000,209.0,230.0,335.0,323.0,False,MEDIUM,14.0,False,1,0 days 01:06:26.828000,Red Bull Racing,VER,1,True,2023-04-29 13:55:08.697,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:09:54.615000,1,0 days 00:01:43.952000,12.0,,,0 days 00:00:36.817000,0 days 00:00:42.207000,0 days 00:00:24.928000,0 days 01:08:47.480000,0 days 01:09:29.687000,0 days 01:09:54.615000,210.0,226.0,323.0,323.0,False,MEDIUM,15.0,False,1,0 days 01:08:10.663000,Red Bull Racing,VER,1,True,2023-04-29 13:56:52.532,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:11:39.036000,1,0 days 00:01:44.421000,13.0,,,0 days 00:00:37.007000,0 days 00:00:42.274000,0 days 00:00:25.140000,0 days 01:10:31.622000,0 days 01:11:13.896000,0 days 01:11:39.036000,216.0,233.0,320.0,323.0,False,MEDIUM,16.0,False,1,0 days 01:09:54.615000,Red Bull Racing,VER,1,True,2023-04-29 13:58:36.484,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:13:23.526000,1,0 days 00:01:44.490000,14.0,,,0 days 00:00:37.126000,0 days 00:00:42.211000,0 days 00:00:25.153000,0 days 01:12:16.162000,0 days 01:12:58.373000,0 days 01:13:23.526000,212.0,230.0,321.0,323.0,False,MEDIUM,17.0,False,1,0 days 01:11:39.036000,Red Bull Racing,VER,1,True,2023-04-29 14:00:20.905,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:15:08.612000,1,0 days 00:01:45.086000,15.0,,,0 days 00:00:37.332000,0 days 00:00:42.409000,0 days 00:00:25.345000,0 days 01:14:00.858000,0 days 01:14:43.267000,0 days 01:15:08.612000,217.0,235.0,320.0,323.0,False,MEDIUM,18.0,False,1,0 days 01:13:23.526000,Red Bull Racing,VER,1,True,2023-04-29 14:02:05.395,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:16:53.836000,1,0 days 00:01:45.224000,16.0,,,0 days 00:00:37.553000,0 days 00:00:42.601000,0 days 00:00:25.070000,0 days 01:15:46.165000,0 days 01:16:28.766000,0 days 01:16:53.836000,213.0,225.0,329.0,323.0,False,MEDIUM,19.0,False,1,0 days 01:15:08.612000,Red Bull Racing,VER,1,True,2023-04-29 14:03:50.481,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:18:39.336000,1,0 days 00:01:45.500000,17.0,,,0 days 00:00:37.447000,0 days 00:00:42.992000,0 days 00:00:25.061000,0 days 01:17:31.283000,0 days 01:18:14.275000,0 days 01:18:39.336000,207.0,222.0,332.0,323.0,False,MEDIUM,20.0,False,1,0 days 01:16:53.836000,Red Bull Racing,VER,1,True,2023-04-29 14:05:35.705,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:47:08.453000,63,,1.0,0 days 00:13:45.194000,,,0 days 00:00:43.001000,0 days 00:00:25.463000,,0 days 00:46:43.030000,0 days 00:47:08.498000,198.0,216.0,316.0,316.0,False,MEDIUM,8.0,False,1,0 days 00:45:16.328000,Mercedes,RUS,2,False,2023-04-29 13:33:58.197,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:49:18.442000,63,0 days 00:02:09.989000,2.0,,,0 days 00:00:38.280000,0 days 00:00:58.264000,0 days 00:00:33.445000,0 days 00:47:46.733000,0 days 00:48:44.997000,0 days 00:49:18.442000,195.0,90.0,266.0,283.0,False,MEDIUM,9.0,False,1,0 days 00:47:08.453000,Mercedes,RUS,26,False,2023-04-29 13:35:50.322,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:51:49.511000,63,,3.0,,,0 days 00:00:53.603000,0 days 00:01:02.341000,0 days 00:00:35.101000,0 days 00:50:12.137000,0 days 00:51:14.480000,0 days 00:51:49.511000,160.0,99.0,178.0,213.0,False,MEDIUM,10.0,False,1,0 days 00:49:18.442000,Mercedes,RUS,64,False,2023-04-29 13:38:00.311,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:54:41.602000,63,,4.0,,,0 days 00:01:01.630000,0 days 00:01:11.939000,0 days 00:00:38.502000,0 days 00:52:51.166000,0 days 00:54:03.118000,0 days 00:54:41.602000,124.0,169.0,294.0,189.0,False,MEDIUM,11.0,False,1,0 days 00:51:49.511000,Mercedes,RUS,4,False,2023-04-29 13:40:31.380,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:57:43.316000,63,,5.0,,,0 days 00:00:53.616000,0 days 00:01:01.710000,0 days 00:01:06.449000,0 days 00:55:35.211000,0 days 00:56:36.945000,0 days 00:57:43.428000,137.0,98.0,307.0,97.0,False,MEDIUM,12.0,False,1,0 days 00:54:41.602000,Mercedes,RUS,4,False,2023-04-29 13:43:23.471,4,Sprint Race,Azerbaijan Grand Prix
0 days 00:59:30.641000,63,0 days 00:01:47.325000,6.0,,,0 days 00:00:39.309000,0 days 00:00:42.691000,0 days 00:00:25.325000,0 days 00:58:22.625000,0 days 00:59:05.316000,0 days 00:59:30.641000,201.0,225.0,322.0,316.0,False,MEDIUM,13.0,False,1,0 days 00:57:43.316000,Mercedes,RUS,1,False,2023-04-29 13:46:25.185,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:01:15.706000,63,0 days 00:01:45.065000,7.0,,,0 days 00:00:37.489000,0 days 00:00:42.331000,0 days 00:00:25.245000,0 days 01:00:08.130000,0 days 01:00:50.461000,0 days 01:01:15.706000,206.0,220.0,322.0,318.0,False,MEDIUM,14.0,False,1,0 days 00:59:30.641000,Mercedes,RUS,1,True,2023-04-29 13:48:12.510,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:03:00.724000,63,0 days 00:01:45.018000,8.0,,,0 days 00:00:37.379000,0 days 00:00:42.385000,0 days 00:00:25.254000,0 days 01:01:53.085000,0 days 01:02:35.470000,0 days 01:03:00.724000,203.0,217.0,325.0,318.0,False,MEDIUM,15.0,False,1,0 days 01:01:15.706000,Mercedes,RUS,1,True,2023-04-29 13:49:57.575,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:04:45.222000,63,0 days 00:01:44.498000,9.0,,,0 days 00:00:37.140000,0 days 00:00:42.149000,0 days 00:00:25.209000,0 days 01:03:37.864000,0 days 01:04:20.013000,0 days 01:04:45.222000,208.0,230.0,323.0,318.0,False,MEDIUM,16.0,False,1,0 days 01:03:00.724000,Mercedes,RUS,1,True,2023-04-29 13:51:42.593,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:06:29.631000,63,0 days 00:01:44.409000,10.0,,,0 days 00:00:37.053000,0 days 00:00:42.175000,0 days 00:00:25.181000,0 days 01:05:22.275000,0 days 01:06:04.450000,0 days 01:06:29.631000,212.0,230.0,322.0,318.0,True,MEDIUM,17.0,False,1,0 days 01:04:45.222000,Mercedes,RUS,1,True,2023-04-29 13:53:27.091,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:08:14.131000,63,0 days 00:01:44.500000,11.0,,,0 days 00:00:37.084000,0 days 00:00:42.191000,0 days 00:00:25.225000,0 days 01:07:06.715000,0 days 01:07:48.906000,0 days 01:08:14.131000,,231.0,321.0,317.0,False,MEDIUM,18.0,False,1,0 days 01:06:29.631000,Mercedes,RUS,1,True,2023-04-29 13:55:11.500,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:09:58.736000,63,0 days 00:01:44.605000,12.0,,,0 days 00:00:37.074000,0 days 00:00:42.250000,0 days 00:00:25.281000,0 days 01:08:51.205000,0 days 01:09:33.455000,0 days 01:09:58.736000,204.0,227.0,321.0,317.0,False,MEDIUM,19.0,False,1,0 days 01:08:14.131000,Mercedes,RUS,1,True,2023-04-29 13:56:56.000,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:11:43.488000,63,0 days 00:01:44.752000,13.0,,,0 days 00:00:37.092000,0 days 00:00:42.360000,0 days 00:00:25.300000,0 days 01:10:35.828000,0 days 01:11:18.188000,0 days 01:11:43.488000,203.0,226.0,320.0,317.0,False,MEDIUM,20.0,False,1,0 days 01:09:58.736000,Mercedes,RUS,1,True,2023-04-29 13:58:40.605,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:13:28.184000,63,0 days 00:01:44.696000,14.0,,,0 days 00:00:37.187000,0 days 00:00:42.205000,0 days 00:00:25.304000,0 days 01:12:20.675000,0 days 01:13:02.880000,0 days 01:13:28.184000,213.0,227.0,319.0,316.0,False,MEDIUM,21.0,False,1,0 days 01:11:43.488000,Mercedes,RUS,1,True,2023-04-29 14:00:25.357,4,Sprint Race,Azerbaijan Grand Prix
0 days 01:15:12.794000,63,0 days 00:01:44.610000,15.0,,,0 days 00:00:37.190000,0 days 00:00:42.207000,0 days 00:00:25.213000,0 days 01:14:05.374000,0 days 01:14:47.581000,0 days 01:15:12.794000,210.0,228.0,321.0,318.0,False,MEDIUM,22.0,False,1,0 days 01:13:28.184000,Mercedes,RUS,1,True,2023-04-29 14:02:10.053,4,Sprint Race,Azerbaijan Grand Prix
